Line	MessageNo	File Name
0	1	mBPic.exe -DBG -pP16F886 -MSF -Y -DL -O11111114 -fo8 -N"C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2015\Estacion_meteorologica\Anemometro_temperatura_luz.mbppi" -SP"C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2015\Estacion_meteorologica\" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_String.mcl" "__Lib_Conversions.mcl" "__Lib_Time.mcl" "__Lib_Trigon.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_88X.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "Anemometro_temperatura_luz.mbas"	 
diagnostics: 0	154	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	132	Compilation Started	C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2015\Estacion_meteorologica\Anemometro_temperatura_luz.mbas
hint: 1	1015	Hint: Compiling unit "C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2015\Estacion_meteorologica\Anemometro_temperatura_luz.mbas"	Anemometro_temperatura_luz.mbas
hint: 41	1006	Warning: Generated baud rate is 9615 bps (error = 0.16 percent)	Anemometro_temperatura_luz.mbas
hint: 100	1016	Warning: Source size (14) does not match destination size (5)	Anemometro_temperatura_luz.mbas
hint: 106	1016	Warning: Source size (14) does not match destination size (5)	Anemometro_temperatura_luz.mbas
hint: 121	1010	Hint: Unit "Anemometro_temperatura_luz.mbas" has been recompiled	Anemometro_temperatura_luz.mbas
diagnostics: 0	133	Compiled Successfully	C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2015\Estacion_meteorologica\Anemometro_temperatura_luz.mbas
diagnostics: 0	138	All files Compiled in 94 ms	 
hint: 0	1143	Used RAM (bytes): 116 (33%)  Free RAM (bytes): 236 (67%)	Used RAM (bytes): 116 (33%)  Free RAM (bytes): 236 (67%)
hint: 0	1143	Used ROM (program words): 3727 (45%)  Free ROM (program words): 4465 (55%)	Used ROM (program words): 3727 (45%)  Free ROM (program words): 4465 (55%)
diagnostics: 0	144	Project Linked Successfully	Anemometro_temperatura_luz.mbppi
diagnostics: 0	139	Linked in 1515 ms	 
diagnostics: 0	140	Project 'Anemometro_temperatura_luz.mbppi' completed: 2406 ms	 
diagnostics: 0	103	Finished successfully: 12 ene 2015, 15:51:28	Anemometro_temperatura_luz.mbppi
