Line	MessageNo	File Name
0	1	mBPic.exe -DBG -pP16F886 -MSF -Y -DL -O11111114 -fo4 -N"C:\mu\Mu2013\Desarrollo1\Servo_Uart\Servo.mbppi" -SP"C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"C:\mu\Mu2013\Desarrollo1\Servo_Uart\" -SP"C:\mu\Mu2013\Desarrollo\Servo_Uart\" -SP"H:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"H:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"H:\Documents and Settings\Chacho\Mis documentos\Downloads\Servo_Uart\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"C:\Users\USUARIO\Documents\proyecto\P18\Servo_Uart\" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_String.mcl" "__Lib_Conversions.mcl" "__Lib_Time.mcl" "__Lib_Trigon.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_88X.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "Servo.mbas"	 
warning: 0	1501	Specified search path do not exist: 'C:\mu\Mu2013\Desarrollo\Servo_Uart'	 
warning: 0	1501	Specified search path do not exist: 'H:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\defs'	 
warning: 0	1501	Specified search path do not exist: 'H:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16'	 
warning: 0	1501	Specified search path do not exist: 'H:\Documents and Settings\Chacho\Mis documentos\Downloads\Servo_Uart'	 
warning: 0	1501	Specified search path do not exist: 'C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\defs'	 
warning: 0	1501	Specified search path do not exist: 'C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16'	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\USUARIO\Documents\proyecto\P18\Servo_Uart'	 
diagnostics: 0	154	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	132	Compilation Started	C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\__Lib_Delays.mbas
hint: 1	1015	Hint: Compiling unit "C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\__Lib_Delays.mbas"	__Lib_Delays.mbas
hint: 146	1010	Hint: Unit "__Lib_Delays.mbas" has been recompiled	__Lib_Delays.mbas
diagnostics: 0	133	Compiled Successfully	C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\__Lib_Delays.mbas
diagnostics: 0	132	Compilation Started	C:\mu\Mu2013\Desarrollo1\Servo_Uart\Servo.mbas
hint: 1	1015	Hint: Compiling unit "C:\mu\Mu2013\Desarrollo1\Servo_Uart\Servo.mbas"	Servo.mbas
hint: 48	1006	Warning: Generated baud rate is 9615 bps (error = 0.16 percent)	Servo.mbas
hint: 98	1010	Hint: Unit "Servo.mbas" has been recompiled	Servo.mbas
diagnostics: 0	133	Compiled Successfully	C:\mu\Mu2013\Desarrollo1\Servo_Uart\Servo.mbas
diagnostics: 0	138	All files Compiled in 94 ms	 
hint: 0	1143	Used RAM (bytes): 12 (3%)  Free RAM (bytes): 340 (97%)	Used RAM (bytes): 12 (3%)  Free RAM (bytes): 340 (97%)
hint: 0	1143	Used ROM (program words): 237 (3%)  Free ROM (program words): 7955 (97%)	Used ROM (program words): 237 (3%)  Free ROM (program words): 7955 (97%)
diagnostics: 0	144	Project Linked Successfully	Servo.mbppi
diagnostics: 0	139	Linked in 1591 ms	 
diagnostics: 0	140	Project 'Servo.mbppi' completed: 2886 ms	 
diagnostics: 0	103	Finished successfully: 13 Sep 2013, 12:14:09	Servo.mbppi
