Line	MessageNo	File Name
0	1	mBPic.exe -DBG -pP16F887 -MSF -Y -DL -O11111114 -fo8 -N"C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2015\Acondicionador_t\acondicionador.mbppi" -SP"C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2015\Acondicionador_t\" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_String.mcl" "__Lib_Conversions.mcl" "__Lib_Time.mcl" "__Lib_Trigon.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_88X.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "acondicionador.mbas"	 
diagnostics: 0	154	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	132	Compilation Started	C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\defs\P16F887.mbas
hint: 1	1015	Hint: Compiling unit "C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\defs\P16F887.mbas"	P16F887.mbas
hint: 948	1010	Hint: Unit "P16F887.mbas" has been recompiled	P16F887.mbas
diagnostics: 0	133	Compiled Successfully	C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\defs\P16F887.mbas
diagnostics: 0	132	Compilation Started	C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\__Lib_Delays.mbas
hint: 1	1015	Hint: Compiling unit "C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\__Lib_Delays.mbas"	__Lib_Delays.mbas
hint: 146	1010	Hint: Unit "__Lib_Delays.mbas" has been recompiled	__Lib_Delays.mbas
diagnostics: 0	133	Compiled Successfully	C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\__Lib_Delays.mbas
diagnostics: 0	132	Compilation Started	C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2015\Acondicionador_t\acondicionador.mbas
hint: 1	1015	Hint: Compiling unit "C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2015\Acondicionador_t\acondicionador.mbas"	acondicionador.mbas
hint: 110	1010	Hint: Unit "acondicionador.mbas" has been recompiled	acondicionador.mbas
diagnostics: 0	133	Compiled Successfully	C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2015\Acondicionador_t\acondicionador.mbas
diagnostics: 0	138	All files Compiled in 172 ms	 
hint: 0	1143	Used RAM (bytes): 7 (2%)  Free RAM (bytes): 345 (98%)	Used RAM (bytes): 7 (2%)  Free RAM (bytes): 345 (98%)
hint: 0	1143	Used ROM (program words): 208 (3%)  Free ROM (program words): 7984 (97%)	Used ROM (program words): 208 (3%)  Free ROM (program words): 7984 (97%)
diagnostics: 0	144	Project Linked Successfully	acondicionador.mbppi
diagnostics: 0	139	Linked in 1187 ms	 
diagnostics: 0	140	Project 'acondicionador.mbppi' completed: 2625 ms	 
diagnostics: 0	103	Finished successfully: 09 ene 2016, 19:24:27	acondicionador.mbppi
