Line	MessageNo	File Name
0	1	mBPic.exe -DBG -pP16F886 -MSF -Y -DL -O11111114 -fo8 -N"C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2012\SRF05_UART\SRF05_UART.mbppi" -SP"C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2012\SRF05_UART\" -SP"C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Desarrollo1\SRF05_UART\" -SP"C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"D:\Mu\Desarrollo\SRF05_UART\" -SP"C:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"C:\Documents and Settings\BENAVIDES DURAN\Escritorio\CODIGO_16F887_EJEMPLO\SRF05_UART\" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_String.mcl" "__Lib_Conversions.mcl" "__Lib_Time.mcl" "__Lib_Trigon.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_88X.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "SRF05_UART.mbas"	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Desarrollo1\SRF05_UART'	 
warning: 0	1501	Specified search path do not exist: 'C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\defs'	 
warning: 0	1501	Specified search path do not exist: 'C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16'	 
warning: 0	1501	Specified search path do not exist: 'D:\Mu\Desarrollo\SRF05_UART'	 
warning: 0	1501	Specified search path do not exist: 'C:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\defs'	 
warning: 0	1501	Specified search path do not exist: 'C:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16'	 
warning: 0	1501	Specified search path do not exist: 'C:\Documents and Settings\BENAVIDES DURAN\Escritorio\CODIGO_16F887_EJEMPLO\SRF05_UART'	 
diagnostics: 0	154	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	132	Compilation Started	C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2012\SRF05_UART\SRF05_UART.mbas
hint: 1	1015	Hint: Compiling unit "C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2012\SRF05_UART\SRF05_UART.mbas"	SRF05_UART.mbas
hint: 83	1006	Warning: Generated baud rate is 9615 bps (error = 0.16 percent)	SRF05_UART.mbas
hint: 45	1011	Hint: Variable "tiempo" has been eliminated by optimizer	SRF05_UART.mbas
hint: 104	1010	Hint: Unit "SRF05_UART.mbas" has been recompiled	SRF05_UART.mbas
diagnostics: 0	133	Compiled Successfully	C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2012\SRF05_UART\SRF05_UART.mbas
diagnostics: 0	138	All files Compiled in 63 ms	 
hint: 0	1143	Used RAM (bytes): 32 (9%)  Free RAM (bytes): 320 (91%)	Used RAM (bytes): 32 (9%)  Free RAM (bytes): 320 (91%)
hint: 0	1143	Used ROM (program words): 385 (5%)  Free ROM (program words): 7807 (95%)	Used ROM (program words): 385 (5%)  Free ROM (program words): 7807 (95%)
diagnostics: 0	144	Project Linked Successfully	SRF05_UART.mbppi
diagnostics: 0	139	Linked in 1140 ms	 
diagnostics: 0	140	Project 'SRF05_UART.mbppi' completed: 1828 ms	 
diagnostics: 0	103	Finished successfully: 07 jul 2014, 18:02:10	SRF05_UART.mbppi
