Line	MessageNo	File Name
0	1	mBPic.exe -DBG -pP16F886 -MSF -Y -DL -O11111114 -fo4 -N"D:\Mu\Desarrollo\seguidor de linea\SEGUIDOR_LINEA.mbppi" -SP"C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"D:\Mu\Desarrollo\seguidor de linea\" -SP"Y:\I&T 8 CD 2012 Ideas&Tecnologia\Ejemplos de Programacion\PRACTICAS KITS ROBOTS I&T\FIRMWARE BASICO - SEGUIDOR LINEA  DESTREZA I&T\" -SP"C:\Users\vasanza\Desktop\FIRMWARE BASICO - SEGUIDOR LINEA  DESTREZA I&T\" -SP"C:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"C:\Documents and Settings\LABORATORIO\Escritorio\I&T 8 CD 2012 Ideas&TecnologiaCORRE\EJEMPLOS DE PROGRAMACIÓN CON MÓDULOS I&T\PRACTICAS KITS ROBOTS I&T\FIRMWARE BASICO - SEGUIDOR LINEA  DESTREZA I&T\" -SP"C:\Documents and Settings\LABORATORIO\Escritorio\I&T 8 CD 2012 Ideas&Tecnologia\EJEMPLOS DE PROGRAMACIÓN CON MÓDULOS I&T\PRACTICAS KITS ROBOTS I&T\FIRMWARE BASICO - SEGUIDOR LINEA  DESTREZA I&T\" -SP"C:\IDEAS&TECNOLOGIA_PC_ASANZA\I&T 8 CD 2012 Ideas&Tecnologia\EJEMPLOS DE PROGRAMACIÓN CON MÓDULOS I&T\PRACTICAS KITS ROBOTS I&T\FIRMWARE BASICO - SEGUIDOR LINEA  DESTREZA I&T\" -SP"C:\IDEAS&TECNOLOGIA_PC_ASANZA\I&T 8 CD 2012 Ideas&Tecnologia +\EJEMPLOS DE PROGRAMACIÓN CON MÓDULOS I&T\PRACTICAS KITS ROBOTS I&T\FIRMWARE BASICO - SEGUIDOR LINEA  DESTREZA I&T\" -SP"C:\Users\vasanza\Desktop\SEMINARIO ROBOTICA MANABI\CLASES\CLASE 2\SEGUIDOR LINEA\" -SP"C:\Users\vasanza\Desktop\SEMINARIO ESPOL-MECANICA\CLASES\CLASE 2\SEGUIDOR LINEA\" -SP"C:\Users\Invitado\Desktop\SEMINARIO ESPOL-MECANICA\CLASES\CLASE 2\SEGUIDOR LINEA\" -SP"C:\Users\Invitado\Desktop\SEGUIDOR LINEA\" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_String.mcl" "__Lib_Conversions.mcl" "__Lib_Time.mcl" "__Lib_Trigon.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_88X.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "SEGUIDOR_LINEA.mbas"	 
warning: 0	1501	Specified search path do not exist: 'Y:\I&T 8 CD 2012 Ideas&Tecnologia\Ejemplos de Programacion\PRACTICAS KITS ROBOTS I&T\FIRMWARE BASICO - SEGUIDOR LINEA  DESTREZA I&T'	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\vasanza\Desktop\FIRMWARE BASICO - SEGUIDOR LINEA  DESTREZA I&T'	 
warning: 0	1501	Specified search path do not exist: 'C:\Documents and Settings\LABORATORIO\Escritorio\I&T 8 CD 2012 Ideas&TecnologiaCORRE\EJEMPLOS DE PROGRAMACIÓN CON MÓDULOS I&T\PRACTICAS KITS ROBOTS I&T\FIRMWARE BASICO - SEGUIDOR LINEA  DESTREZA I&T'	 
warning: 0	1501	Specified search path do not exist: 'C:\Documents and Settings\LABORATORIO\Escritorio\I&T 8 CD 2012 Ideas&Tecnologia\EJEMPLOS DE PROGRAMACIÓN CON MÓDULOS I&T\PRACTICAS KITS ROBOTS I&T\FIRMWARE BASICO - SEGUIDOR LINEA  DESTREZA I&T'	 
warning: 0	1501	Specified search path do not exist: 'C:\IDEAS&TECNOLOGIA_PC_ASANZA\I&T 8 CD 2012 Ideas&Tecnologia\EJEMPLOS DE PROGRAMACIÓN CON MÓDULOS I&T\PRACTICAS KITS ROBOTS I&T\FIRMWARE BASICO - SEGUIDOR LINEA  DESTREZA I&T'	 
warning: 0	1501	Specified search path do not exist: 'C:\IDEAS&TECNOLOGIA_PC_ASANZA\I&T 8 CD 2012 Ideas&Tecnologia +\EJEMPLOS DE PROGRAMACIÓN CON MÓDULOS I&T\PRACTICAS KITS ROBOTS I&T\FIRMWARE BASICO - SEGUIDOR LINEA  DESTREZA I&T'	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\vasanza\Desktop\SEMINARIO ROBOTICA MANABI\CLASES\CLASE 2\SEGUIDOR LINEA'	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\vasanza\Desktop\SEMINARIO ESPOL-MECANICA\CLASES\CLASE 2\SEGUIDOR LINEA'	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\Invitado\Desktop\SEMINARIO ESPOL-MECANICA\CLASES\CLASE 2\SEGUIDOR LINEA'	 
