Line	MessageNo	File Name
0	1	mBPic.exe -DBG -pP16F886 -MSF -Y -DL -O11111114 -fo8 -N"C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2013\Odometro\Odometro.mbppi" -SP"C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2013\Odometro\" -SP"C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"E:\Proyectos 2013\Odometro\" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_String.mcl" "__Lib_Conversions.mcl" "__Lib_Time.mcl" "__Lib_Trigon.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_88X.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "Odometro.mbas"	 
warning: 0	1501	Specified search path do not exist: 'C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\defs'	 
warning: 0	1501	Specified search path do not exist: 'C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16'	 
warning: 0	1501	Specified search path do not exist: 'E:\Proyectos 2013\Odometro'	 
diagnostics: 0	154	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	132	Compilation Started	C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2013\Odometro\Odometro.mbas
hint: 1	1015	Hint: Compiling unit "C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2013\Odometro\Odometro.mbas"	Odometro.mbas
hint: 95	1009	Warning: Implicit typecast performed from "integral" to "real"	Odometro.mbas
hint: 105	1009	Warning: Implicit typecast performed from "real" to "integral"	Odometro.mbas
hint: 116	1016	Warning: Source size (6) does not match destination size (5)	Odometro.mbas
hint: 119	1016	Warning: Source size (6) does not match destination size (5)	Odometro.mbas
hint: 125	1010	Hint: Unit "Odometro.mbas" has been recompiled	Odometro.mbas
diagnostics: 0	133	Compiled Successfully	C:\Users\johnanibal\Documents\Desarrollo_Mikrobasic\Proyectos 2013\Odometro\Odometro.mbas
diagnostics: 0	138	All files Compiled in 94 ms	 
hint: 0	1143	Used RAM (bytes): 136 (39%)  Free RAM (bytes): 216 (61%)	Used RAM (bytes): 136 (39%)  Free RAM (bytes): 216 (61%)
hint: 0	1143	Used ROM (program words): 1422 (17%)  Free ROM (program words): 6770 (83%)	Used ROM (program words): 1422 (17%)  Free ROM (program words): 6770 (83%)
diagnostics: 0	144	Project Linked Successfully	Odometro.mbppi
diagnostics: 0	139	Linked in 1266 ms	 
diagnostics: 0	140	Project 'Odometro.mbppi' completed: 1969 ms	 
diagnostics: 0	103	Finished successfully: 21 ene 2014, 11:27:28	Odometro.mbppi
