Line	MessageNo	File Name
0	1	mBPic.exe -DBG -pP16F887 -MSF -Y -DL -O11111114 -fo8 -N"E:\Proyectos 2013\Servo_Labview\ROBOT RADIOCONTROLADO LABVIEW\Robot_Radiocontrolado.mbppi" -SP"C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"E:\Proyectos 2013\Servo_Labview\ROBOT RADIOCONTROLADO LABVIEW\" -SP"E:\Proyectos 2013\Robot_Radiocontrolado_Labview\ROBOT RADIOCONTROLADO LABVIEW\" -SP"C:\mu\Mu2013\Desarrollo\Robot_Radiocontrolado_Labview\ROBOT RADIOCONTROLADO LABVIEW\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"C:\Users\Rogelio\Desktop\I&T 8 CD 2012 Ideas&Tecnologia\Ejemplos de Programacion\PRACTICAS 2012 MEI&T 04\ROBOT RADIOCONTROLADO LABVIEW\" -SP"C:\Users\vasanza\Desktop\CHARLA I&T GUAYAQUIL - ESPOL\ROBOT RADIOCONTROLADO\" -SP"C:\Users\Invitado\Desktop\ROBOT RADIOCONTROLADO\" -SP"C:\Users\vasanza\Desktop\Seminario Robotica ESTATAL\Clase6\Robot RadioControlado\" -SP"C:\Users\milton benavides\Desktop\Seminarios Ideas-Machala II\Clases Seminarios\Diseño e Implementación Robots\Clase7\Robot RadioControlado\" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_String.mcl" "__Lib_Conversions.mcl" "__Lib_Time.mcl" "__Lib_Trigon.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_88X.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "Robot_RadioControlado.mbas"	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\Public\Documents\Mikroelektronika\mikroBasic PRO for PIC\defs'	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\Public\Documents\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16'	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\Rogelio\Desktop\I&T 8 CD 2012 Ideas&Tecnologia\Ejemplos de Programacion\PRACTICAS 2012 MEI&T 04\ROBOT RADIOCONTROLADO LABVIEW'	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\vasanza\Desktop\CHARLA I&T GUAYAQUIL - ESPOL\ROBOT RADIOCONTROLADO'	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\Invitado\Desktop\ROBOT RADIOCONTROLADO'	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\vasanza\Desktop\Seminario Robotica ESTATAL\Clase6\Robot RadioControlado'	 
warning: 0	1501	Specified search path do not exist: 'C:\Users\milton benavides\Desktop\Seminarios Ideas-Machala II\Clases Seminarios\Diseño e Implementación Robots\Clase7\Robot RadioControlado'	 
diagnostics: 0	154	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	132	Compilation Started	E:\Proyectos 2013\Servo_Labview\ROBOT RADIOCONTROLADO LABVIEW\Robot_RadioControlado.mbas
hint: 1	1015	Hint: Compiling unit "E:\Proyectos 2013\Servo_Labview\ROBOT RADIOCONTROLADO LABVIEW\Robot_RadioControlado.mbas"	Robot_RadioControlado.mbas
hint: 21	1006	Warning: Generated baud rate is 9615 bps (error = 0.16 percent)	Robot_RadioControlado.mbas
hint: 77	1010	Hint: Unit "Robot_RadioControlado.mbas" has been recompiled	Robot_RadioControlado.mbas
diagnostics: 0	133	Compiled Successfully	E:\Proyectos 2013\Servo_Labview\ROBOT RADIOCONTROLADO LABVIEW\Robot_RadioControlado.mbas
diagnostics: 0	138	All files Compiled in 218 ms	 
hint: 0	1143	Used RAM (bytes): 17 (5%)  Free RAM (bytes): 335 (95%)	Used RAM (bytes): 17 (5%)  Free RAM (bytes): 335 (95%)
hint: 0	1143	Used ROM (program words): 323 (4%)  Free ROM (program words): 7869 (96%)	Used ROM (program words): 323 (4%)  Free ROM (program words): 7869 (96%)
diagnostics: 0	144	Project Linked Successfully	Robot_Radiocontrolado.mbppi
diagnostics: 0	139	Linked in 1420 ms	 
diagnostics: 0	140	Project 'Robot_Radiocontrolado.mbppi' completed: 2605 ms	 
diagnostics: 0	103	Finished successfully: 11 Aug 2013, 00:07:46	Robot_Radiocontrolado.mbppi
