;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/14/2013 12:47:09 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x158A      	BSF        PCLATH, 3
0x0001	0x2800      	GOTO       2048
t_lcd_serial_interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x00A3      	MOVWF      ___saveSTATUS
0x0008	0x080A      	MOVF       PCLATH, 0
0x0009	0x00A7      	MOVWF      ___savePCLATH
0x000A	0x018A      	CLRF       PCLATH
0x000B	0x0870      	MOVF       R0, 0
0x000C	0x00A2      	MOVWF      34
0x000D	0x0871      	MOVF       R1, 0
0x000E	0x00A1      	MOVWF      33
0x000F	0x0872      	MOVF       R2, 0
0x0010	0x00A0      	MOVWF      32
;t_lcd_serial.mbas,24 :: 		sub procedure interrupt
;t_lcd_serial.mbas,28 :: 		if (PIR1.RCIF=1) then
0x0011	0x1E8C      	BTFSS      PIR1, 5
0x0012	0x2870      	GOTO       L_t_lcd_serial_interrupt2
;t_lcd_serial.mbas,29 :: 		PIR1.RCIF=0
0x0013	0x128C      	BCF        PIR1, 5
;t_lcd_serial.mbas,31 :: 		dato_recep = UART1_Read()
0x0014	0x23DA      	CALL       _UART1_Read
0x0015	0x0870      	MOVF       R0, 0
0x0016	0x00AA      	MOVWF      _dato_recep
;t_lcd_serial.mbas,33 :: 		case 0
0x0017	0x0829      	MOVF       _viajero, 0
0x0018	0x3A00      	XORLW      0
0x0019	0x1D03      	BTFSS      STATUS, 2
0x001A	0x2824      	GOTO       L_t_lcd_serial_interrupt7
;t_lcd_serial.mbas,34 :: 		if dato_recep = 0X54 then ' I
0x001B	0x082A      	MOVF       _dato_recep, 0
0x001C	0x3A54      	XORLW      84
0x001D	0x1D03      	BTFSS      STATUS, 2
0x001E	0x2822      	GOTO       L_t_lcd_serial_interrupt9
;t_lcd_serial.mbas,35 :: 		viajero = 1
0x001F	0x3001      	MOVLW      1
0x0020	0x00A9      	MOVWF      _viajero
0x0021	0x2823      	GOTO       L_t_lcd_serial_interrupt10
;t_lcd_serial.mbas,36 :: 		else
L_t_lcd_serial_interrupt9:
;t_lcd_serial.mbas,37 :: 		viajero = 0
0x0022	0x01A9      	CLRF       _viajero
;t_lcd_serial.mbas,38 :: 		end if
L_t_lcd_serial_interrupt10:
0x0023	0x2870      	GOTO       L_t_lcd_serial_interrupt4
L_t_lcd_serial_interrupt7:
;t_lcd_serial.mbas,39 :: 		case 1
0x0024	0x0829      	MOVF       _viajero, 0
0x0025	0x3A01      	XORLW      1
0x0026	0x1D03      	BTFSS      STATUS, 2
0x0027	0x2831      	GOTO       L_t_lcd_serial_interrupt13
;t_lcd_serial.mbas,40 :: 		if dato_recep = 0X3D then ' ide temp
0x0028	0x082A      	MOVF       _dato_recep, 0
0x0029	0x3A3D      	XORLW      61
0x002A	0x1D03      	BTFSS      STATUS, 2
0x002B	0x282F      	GOTO       L_t_lcd_serial_interrupt15
;t_lcd_serial.mbas,41 :: 		viajero = 2
0x002C	0x3002      	MOVLW      2
0x002D	0x00A9      	MOVWF      _viajero
0x002E	0x2830      	GOTO       L_t_lcd_serial_interrupt16
;t_lcd_serial.mbas,42 :: 		else
L_t_lcd_serial_interrupt15:
;t_lcd_serial.mbas,43 :: 		viajero = 0
0x002F	0x01A9      	CLRF       _viajero
;t_lcd_serial.mbas,44 :: 		end if
L_t_lcd_serial_interrupt16:
0x0030	0x2870      	GOTO       L_t_lcd_serial_interrupt4
L_t_lcd_serial_interrupt13:
;t_lcd_serial.mbas,45 :: 		case 2 ' display 1
0x0031	0x0829      	MOVF       _viajero, 0
0x0032	0x3A02      	XORLW      2
